"activity","address","city","code","codedescription","createddate","duedate","neighborhood","outcome","servicerequestnum","state","status","statusdate","updateddate","zip","lon","lat"
"Dispatch Inspector","3101  HUNTINGDON AVE","BALTIMORE","FORESTR2","Forestry Fallen Limb","2015-05-04T22:05:23.000","2015-05-05T22:05:23.000","REMINGTON","Duplicate request","15-00348434","MD","CLOSED","2015-05-05T09:25:07.000","2015-05-05T09:24:00.000","21211",-76.624684,39.323682
"Dispatch Work Crew","ERDMAN AVE & LYNDALE AVE","BALTIMORE","FORESTR2","Forestry Fallen Limb","2015-05-04T17:26:27.000","2015-05-05T17:26:27.000","BELAIR-EDISON","Removed entire limb","15-00347495","MD","CLOSED","2015-05-05T12:51:40.000","2015-05-05T12:49:00.000","21213",-76.5621044,39.308984
"Dispatch Work Crew","3738  COLUMBUS DR","BALTIMORE","FORESTR2","Forestry Fallen Limb","2015-05-04T14:20:25.000","2015-05-05T14:20:25.000","DOLFIELD","Removed entire limb","15-00346360","MD","CLOSED","2015-05-06T12:44:52.000","2015-05-06T12:44:00.000","21215",-76.676793,39.338563
"Dispatch Work Crew","1000  ORLEANS ST","BALTIMORE","FORESTR2","Forestry Fallen Limb","2015-05-04T13:35:11.000","2015-05-05T13:35:11.000","OLDTOWN","Duplicate request","15-00345952","MD","CLOSED","2015-05-07T18:57:49.000","2015-05-07T18:56:00.000","21202",-76.6053898,39.2947676
"Dispatch Work Crew","3400  FAIT AVE","BALTIMORE","FORESTR2","Forestry Fallen Limb","2015-05-04T01:24:07.000","2015-05-05T01:24:07.000","CANTON","Removed entire limb","15-00344964","MD","CLOSED","2015-05-05T13:02:35.000","2015-05-05T13:02:00.000","21224",-76.568698,39.283698
"Dispatch Work Crew","110 W 39TH ST","BALTIMORE","FORESTR2","Forestry Fallen Limb","2015-05-03T19:20:53.000","2015-05-04T19:20:53.000","TUSCANY-CANTERBURY","Removed entire limb","15-00344639","MD","CLOSED","2015-05-05T12:57:54.000","2015-05-05T12:57:00.000","21210",-76.6230427,39.3365352
"Dispatch Work Crew","326 E 33RD ST","BALTIMORE","FORESTR2","Forestry Fallen Limb","2015-05-02T13:18:58.000","2015-05-03T13:18:58.000","OAKENSHAWE","Removed entire limb","15-00342912","MD","CLOSED","2015-05-05T13:02:03.000","2015-05-05T13:01:00.000","21218",-76.612504,39.328581
"Dispatch Work Crew","2317  ESSEX ST","BALTIMORE","FORESTR2","Forestry Fallen Limb","2015-05-01T19:29:23.000","2015-05-02T19:29:23.000","CANTON","Removed entire limb","15-00341989","MD","CLOSED","2015-05-05T13:03:57.000","2015-05-05T13:03:00.000","21224",-76.583617,39.2834239
"Dispatch Work Crew","4100  WINDSOR MILL RD","BALTIMORE","FORESTR2","Forestry Fallen Limb","2015-05-01T13:22:28.000","2015-05-02T13:22:28.000","WINDSOR HILLS","Removed entire limb","15-00340693","MD","CLOSED","2015-05-04T12:18:32.000","2015-05-04T12:18:00.000","21216",-76.6847926,39.313287
"Dispatch Work Crew","2108  ALICEANNA ST","BALTIMORE","FORESTR2","Forestry Fallen Limb","2015-05-01T09:22:00.000","2015-05-02T09:22:00.000","CANTON","Removed entire limb","15-00340024","MD","CLOSED","2015-05-07T18:55:16.000","2015-05-07T18:54:00.000","21231",-76.586582,39.2840149
"Dispatch Work Crew","3015  FRISBY ST","BALTIMORE","FORESTR2","Forestry Fallen Limb","2015-04-30T12:33:02.000","2015-05-01T12:33:02.000","BETTER WAVERLY","Removed entire limb","15-00337306","MD","CLOSED","2015-04-30T12:33:33.000","2015-04-30T12:33:00.000","21218",-76.6074996,39.324968
"Dispatch Work Crew","2900","BALTIMORE","FORESTR2","Forestry Fallen Limb","2015-04-29T14:49:06.000","2015-04-30T14:49:06.000","DRUID HILL PARK","Removed entire limb","15-00334503","MD","CLOSED","2015-04-30T12:23:23.000","2015-04-30T12:22:00.000",NA,-76.6186996,39.3229028
"Dispatch Work Crew","1501 N FULTON AVE","BALTIMORE","FORESTR2","Forestry Fallen Limb","2015-04-28T13:58:54.000","2015-04-29T13:58:54.000","SANDTOWN-WINCHESTER","Removed entire limb","15-00330868","MD","CLOSED","2015-04-30T12:24:09.000","2015-04-30T12:23:00.000","21217",-76.645856,39.305408
"Dispatch Inspector","5629  SAGRA RD","BALTIMORE","FORESTR2","Forestry Fallen Limb","2015-04-28T12:37:34.000","2015-04-29T12:37:34.000","WOODBOURNE HEIGHTS","No Cause For Action","15-00330370","MD","CLOSED","2015-04-28T17:07:24.000","2015-04-28T17:06:00.000","21239",-76.592291,39.357615
"Dispatch Work Crew","3454  6TH ST","BALTIMORE","FORESTR2","Forestry Fallen Limb","2015-04-28T11:38:31.000","2015-04-29T11:38:31.000","BROOKLYN","Removed entire limb","15-00330084","MD","CLOSED","2015-04-30T12:38:20.000","2015-04-30T12:37:00.000","21225",-76.6013113,39.238928
"Dispatch Work Crew","1718  JOHNSON ST","BALTIMORE","FORESTR2","Forestry Fallen Limb","2015-04-28T09:26:19.000","2015-04-29T09:26:19.000","RIVERSIDE","Removed entire limb","15-00329830","MD","CLOSED","2015-05-01T12:10:29.000","2015-05-01T12:00:00.000","21230",-76.609571,39.27026
"Dispatch Work Crew","3731  RASPE AVE","BALTIMORE","FORESTR2","Forestry Fallen Limb","2015-04-27T13:26:13.000","2015-04-28T13:26:13.000","GLENHAM-BELFORD","Removed entire limb","15-00327248","MD","CLOSED","2015-05-01T12:23:40.000","2015-05-01T12:22:00.000","21206",-76.542328,39.350552
"Dispatch Work Crew","4600  REISTERSTOWN RD","BALTIMORE","FORESTR2","Forestry Fallen Limb","2015-04-26T20:25:58.000","2015-04-27T20:25:58.000","LUCILLE PARK","Removed entire limb","15-00325948","MD","CLOSED","2015-04-28T15:51:10.000","2015-04-28T15:49:00.000","21215",-76.671547,39.3401767
"Dispatch Work Crew","100 S SCHROEDER ST","BALTIMORE","FORESTR2","Forestry Fallen Limb","2015-04-25T17:21:30.000","2015-04-26T17:21:30.000","HOLLINS MARKET","Removed entire limb","15-00324708","MD","CLOSED","2015-04-28T15:48:32.000","2015-04-28T15:48:00.000","21223",-76.6336781,39.2867514
"Dispatch Work Crew","12  OVERHILL RD","BALTIMORE","FORESTR2","Forestry Fallen Limb","2015-04-24T18:07:14.000","2015-04-25T18:07:14.000","GUILFORD","Removed entire limb","15-00323075","MD","CLOSED","2015-04-28T15:49:30.000","2015-04-28T15:49:00.000","21210",-76.623302,39.343471
"Dispatch Work Crew","1803  COVINGTON ST","BALTIMORE","FORESTR2","Forestry Fallen Limb","2015-04-24T16:59:21.000","2015-04-25T16:59:21.000","RIVERSIDE","Removed entire limb","15-00322826","MD","CLOSED","2015-04-28T15:49:02.000","2015-04-28T15:48:00.000","21230",-76.606212,39.269601
"Dispatch Work Crew","15  EDGEVALE RD","BALTIMORE","FORESTR2","Forestry Fallen Limb","2015-04-24T16:25:33.000","2015-04-25T16:25:33.000","ROLAND PARK","Removed entire limb","15-00322610","MD","CLOSED","2015-04-27T13:00:28.000","2015-04-27T12:57:00.000","21210",-76.640406,39.352656
"Dispatch Inspector","1122  POPLAR GROVE ST","BALTIMORE","FORESTR2","Forestry Fallen Limb","2015-04-24T13:10:06.000","2015-04-25T13:10:06.000","FRANKLINTOWN ROAD","No Cause For Action","15-00321705","MD","CLOSED","2015-04-24T16:11:22.000","2015-04-24T16:10:00.000","21216",-76.665756,39.300949
"Dispatch Work Crew","1716  EUTAW PL","BALTIMORE","FORESTR2","Forestry Fallen Limb","2015-04-23T23:41:31.000","2015-04-24T23:41:31.000","MADISON PARK","Removed entire limb","15-00320818","MD","CLOSED","2015-04-24T16:08:21.000","2015-04-24T16:07:00.000","21217",-76.6308729,39.307255
"Dispatch Work Crew","AYRDALE AVE & DORCHESTER RD","BALTIMORE","FORESTR2","Forestry Fallen Limb","2015-04-23T16:25:30.000","2015-04-24T16:25:30.000","CALLAWAY-GARRISON","Removed entire limb","15-00319665","MD","CLOSED","2015-04-24T16:07:25.000","2015-04-24T16:06:00.000","21215",-76.6786582,39.3317467
"Dispatch Work Crew","3527  CLIFTMONT AVE","BALTIMORE","FORESTR2","Forestry Fallen Limb","2015-04-23T14:30:24.000","2015-04-24T14:30:24.000","BELAIR-EDISON","Removed entire limb","15-00318821","MD","CLOSED","2015-04-27T12:45:49.000","2015-04-27T12:45:00.000","21213",-76.564898,39.319207
NA,"3731  RASPE AVE","BALTIMORE","FORESTR2","Forestry Fallen Limb","2015-04-23T11:42:52.000","2015-04-24T11:42:52.000","GLENHAM-BELFORD",NA,"15-00317417","MD","CLOSED","2015-04-27T13:26:26.000",NA,"21206",-76.542328,39.350552
"Dispatch Inspector","3915  MOUNT PLEASANT AVE","BALTIMORE","FORESTR2","Forestry Fallen Limb","2015-04-23T11:28:16.000","2015-04-24T11:28:16.000","BALTIMORE HIGHLANDS","Duplicate request","15-00317358","MD","CLOSED","2015-04-23T11:40:51.000","2015-04-23T11:40:00.000","21224",-76.5641321,39.2908
"Dispatch Work Crew","4507  PENHURST AVE","BALTIMORE","FORESTR2","Forestry Fallen Limb","2015-04-23T11:02:23.000","2015-04-24T11:02:23.000","WEST ARLINGTON","Removed entire limb","15-00317278","MD","CLOSED","2015-04-30T12:16:24.000","2015-04-30T12:14:00.000","21215",-76.694854,39.338392
"Dispatch Inspector","4029  ARDLEY AVE","BALTIMORE","FORESTR2","Forestry Fallen Limb","2015-04-22T19:44:00.000","2015-04-23T19:44:00.000","BELAIR-EDISON","Duplicate request","15-00316573","MD","CLOSED","2015-04-22T19:47:56.000","2015-04-22T19:47:00.000","21213",-76.557532,39.317593
"Dispatch Work Crew","2001 E FAIRMOUNT AVE","BALTIMORE","FORESTR2","Forestry Fallen Limb","2015-04-22T19:27:34.000","2015-04-23T19:27:34.000","BUTCHER'S HILL","Removed entire limb","15-00316534","MD","CLOSED","2015-04-24T19:19:44.000","2015-04-24T19:18:00.000","21231",-76.5890749,39.29264
"Dispatch Work Crew","3408  BRENDAN AVE","BALTIMORE","FORESTR2","Forestry Fallen Limb","2015-04-22T19:03:54.000","2015-04-23T19:03:54.000","BELAIR-EDISON","Removed entire limb","15-00316449","MD","CLOSED","2015-04-24T19:15:45.000","2015-04-24T19:15:00.000","21213",-76.567424,39.319892
"Dispatch Work Crew","3332  CLIFTMONT AVE","BALTIMORE","FORESTR2","Forestry Fallen Limb","2015-04-22T18:45:27.000","2015-04-23T18:45:27.000","BELAIR-EDISON","Removed entire limb","15-00316395","MD","CLOSED","2015-04-27T12:44:33.000","2015-04-27T12:42:00.000","21213",-76.5710732,39.3184148
"Dispatch Work Crew","5914  SAINT REGIS RD","BALTIMORE","FORESTR2","Forestry Fallen Limb","2015-04-22T18:14:58.000","2015-04-23T18:14:58.000","CEDONIA","Removed entire limb","15-00316251","MD","CLOSED","2015-04-23T12:31:27.000","2015-04-23T12:25:00.000","21206",-76.5317245,39.3264285
"Dispatch Inspector","1300  BOLTON ST","BALTIMORE","FORESTR2","Forestry Fallen Limb","2015-04-22T18:07:13.000","2015-04-23T18:07:13.000","BOLTON HILL","Duplicate request","15-00316184","MD","CLOSED","2015-04-22T18:13:19.000","2015-04-22T18:13:00.000","21217",-76.6240726,39.3053694
"Dispatch Work Crew","JONQUIL AVE & ROCKFIELD AVE","BALTIMORE","FORESTR2","Forestry Fallen Limb","2015-04-22T17:45:44.000","2015-04-23T17:45:44.000","ARLINGTON","Removed entire limb","15-00316018","MD","CLOSED","2015-04-24T19:09:06.000","2015-04-24T19:00:00.000","21215",-93.3208099,42.9221402
"Dispatch Work Crew","748  RAMSAY ST","BALTIMORE","FORESTR2","Forestry Fallen Limb","2015-04-22T17:26:40.000","2015-04-23T17:26:40.000","BARRE CIRCLE","Removed entire limb","15-00315884","MD","CLOSED","2015-04-24T19:11:46.000","2015-04-24T19:11:00.000","21230",-76.6279918,39.2839736
"Dispatch Work Crew","4038  ARDLEY AVE","BALTIMORE","FORESTR2","Forestry Fallen Limb","2015-04-22T17:17:35.000","2015-04-23T17:17:35.000","BELAIR-EDISON","Removed entire limb","15-00315832","MD","CLOSED","2015-04-23T12:41:21.000","2015-04-23T12:40:00.000","21213",-76.5578973,39.3182089
"Dispatch Work Crew","3104  SOUTHERN AVE","BALTIMORE","FORESTR2","Forestry Fallen Limb","2015-04-22T17:04:44.000","2015-04-23T17:04:44.000","WALTHERSON","Removed entire limb","15-00315749","MD","CLOSED","2015-04-27T12:41:09.000","2015-04-27T12:34:00.000","21214",-76.566135,39.344
"Dispatch Work Crew","3727  LYNDALE AVE","BALTIMORE","FORESTR2","Forestry Fallen Limb","2015-04-22T16:56:44.000","2015-04-23T16:56:44.000","BELAIR-EDISON","Removed entire limb","15-00315692","MD","CLOSED","2015-04-24T19:16:20.000","2015-04-24T19:16:00.000","21213",-76.566132,39.316664
"Dispatch Work Crew","1640 E COLD SPRING LN","BALTIMORE","FORESTR2","Forestry Fallen Limb","2015-04-22T16:16:41.000","2015-04-23T16:16:41.000","STONEWOOD-PENTWOOD-WINSTON","Removed entire limb","15-00315454","MD","CLOSED","2015-04-24T19:12:34.000","2015-04-24T19:12:00.000","21218",-76.587321,39.346224
"Dispatch Work Crew","4116  SUNNYSIDE AVE","BALTIMORE","FORESTR2","Forestry Fallen Limb","2015-04-22T14:19:02.000","2015-04-23T14:19:02.000","REISTERSTOWN STATION","Removed entire limb","15-00314782","MD","CLOSED","2015-04-24T19:05:14.000","2015-04-24T19:03:00.000","21215",-76.6938,39.34898
"Dispatch Inspector","LAKE MONTEBELLO DR & HARFORD RD","BALTIMORE","FORESTR2","Forestry Fallen Limb","2015-04-22T11:21:37.000","2015-04-23T11:21:37.000","HERRING RUN PARK","Duplicate request","15-00313355","MD","CLOSED","2015-04-24T19:14:58.000","2015-04-24T19:14:00.000","21218",-76.5821372,39.3310211
"Dispatch Work Crew","1638 N ELLAMONT ST","BALTIMORE","FORESTR2","Forestry Fallen Limb","2015-04-21T14:24:13.000","2015-04-22T14:24:13.000","ROSEMONT","Removed entire limb","15-00311047","MD","CLOSED","2015-04-30T12:30:15.000","2015-04-30T12:30:00.000","21216",-76.671126,39.306862
"Dispatch Work Crew","3500 W FOREST PARK AVE","BALTIMORE","FORESTR2","Forestry Fallen Limb","2015-04-21T14:22:57.000","2015-04-22T14:22:57.000","FOREST PARK","No Cause For Action","15-00311040","MD","CLOSED","2015-04-24T19:06:02.000","2015-04-24T19:05:00.000","21216",-76.675195,39.324446
"Dispatch Work Crew","4000  GLEN AVE","BALTIMORE","FORESTR2","Forestry Fallen Limb","2015-04-21T14:21:33.000","2015-04-22T14:21:33.000","GLEN","No Cause For Action","15-00311030","MD","CLOSED","2015-04-23T13:04:29.000","2015-04-23T13:04:00.000","21215",-76.694034,39.352684
"Dispatch Work Crew","1233  GREENMOUNT AVE","BALTIMORE","FORESTR2","Forestry Fallen Limb","2015-04-21T13:44:58.000","2015-04-22T13:44:58.000","JOHNSTON SQUARE","Removed entire limb","15-00310682","MD","CLOSED","2015-04-21T13:45:27.000","2015-04-21T13:45:00.000","21202",-76.607846,39.304512
"Dispatch Work Crew","3015  FRISBY ST","BALTIMORE","FORESTR2","Forestry Fallen Limb","2015-04-21T13:20:39.000","2015-04-22T13:20:39.000","BETTER WAVERLY","No Cause For Action","15-00310530","MD","CLOSED","2015-04-23T13:03:38.000","2015-04-23T13:03:00.000","21218",-76.6074996,39.324968
"Dispatch Work Crew","1655  NORTHBOURNE RD","BALTIMORE","FORESTR2","Forestry Fallen Limb","2015-04-21T12:52:09.000","2015-04-22T12:52:09.000","PERRING LOCH","Removed entire limb","15-00310298","MD","CLOSED","2015-04-27T12:33:20.000","2015-04-27T12:33:00.000","21239",-76.5842011,39.3542001
"Dispatch Work Crew","2800  WINDSOR AVE","BALTIMORE","FORESTR2","Forestry Fallen Limb","2015-04-21T12:16:39.000","2015-04-22T12:16:39.000","PANWAY/BRADDISH AVENUE","Removed entire limb","15-00310060","MD","CLOSED","2015-04-23T13:39:32.000","2015-04-23T13:37:00.000","21216",-76.6643859,39.312622
"Dispatch Work Crew","3806  BANCROFT RD","BALTIMORE","FORESTR2","Forestry Fallen Limb","2015-04-20T20:24:26.000","2015-04-21T20:24:26.000","GLEN","Removed entire limb","15-00309131","MD","CLOSED","2015-04-23T13:43:36.000","2015-04-23T13:43:00.000","21215",-76.7004338,39.3582984
"Dispatch Work Crew","1 S COLLINGTON AVE","BALTIMORE","FORESTR2","Forestry Fallen Limb","2015-04-20T17:20:47.000","2015-04-21T17:20:47.000","BUTCHER'S HILL","No Cause For Action","15-00308462","MD","CLOSED","2015-05-06T13:01:18.000","2015-05-06T13:00:00.000","21231",-76.5859992,39.2914705
"Dispatch Work Crew","1050  ROCKHILL AVE","BALTIMORE","FORESTR2","Forestry Fallen Limb","2015-04-20T14:00:05.000","2015-04-21T14:00:05.000","VIOLETVILLE","Removed entire limb","15-00307534","MD","CLOSED","2015-04-23T13:40:41.000","2015-04-23T13:40:00.000","21229",-76.67729,39.2691469
"Dispatch Work Crew","3113  BELMONT AVE","BALTIMORE","FORESTR2","Forestry Fallen Limb","2015-04-20T13:34:04.000","2015-04-21T13:34:04.000","ROSEMONT","No Cause For Action","15-00307404","MD","CLOSED","2015-04-23T13:41:39.000","2015-04-23T13:41:00.000","21216",-76.6695455,39.3029229
"Dispatch Work Crew","520 N CHAPELGATE LN","BALTIMORE","FORESTR2","Forestry Fallen Limb","2015-04-19T23:41:26.000","2015-04-20T23:41:26.000","WESTGATE","Removed entire limb","15-00306457","MD","CLOSED","2015-04-21T13:21:57.000","2015-04-21T12:40:00.000","21229",-76.704003,39.292017
"Dispatch Work Crew","2900 N CHARLES ST","BALTIMORE","FORESTR2","Forestry Fallen Limb","2015-04-19T21:26:38.000","2015-04-20T21:26:38.000","JOHNS HOPKINS HOMEWOOD","No Cause For Action","15-00306358","MD","CLOSED","2015-04-21T13:25:24.000","2015-04-21T13:25:00.000","21218",-76.6175576,39.3238768
"Dispatch Work Crew","CHARLESMEAD AVE &N CHARLES ST","BALTIMORE","FORESTR2","Forestry Fallen Limb","2015-04-19T17:31:52.000","2015-04-20T17:31:52.000","THE ORCHARDS","No Cause For Action","15-00306121","MD","CLOSED","2015-04-21T13:28:33.000","2015-04-21T13:28:00.000","21210",-76.624999,39.3700766
"Dispatch Work Crew","VALLEY ST &E PRESTON ST","BALTIMORE","FORESTR2","Forestry Fallen Limb","2015-04-19T00:32:48.000","2015-04-20T00:32:48.000","JOHNSTON SQUARE","Removed entire limb","15-00305607","MD","CLOSED","2015-04-21T13:41:16.000","2015-04-21T13:40:00.000","21202",-76.1219655,40.7177806
"Dispatch Work Crew","1327 W LAFAYETTE AVE","BALTIMORE","FORESTR2","Forestry Fallen Limb","2015-04-18T22:18:31.000","2015-04-19T22:18:31.000","HARLEM PARK","No Cause For Action","15-00305493","MD","CLOSED","2015-04-21T13:29:26.000","2015-04-21T13:28:00.000","21217",-76.639589,39.298802
"Dispatch Work Crew","1276  MERIDENE DR","BALTIMORE","FORESTR2","Forestry Fallen Limb","2015-04-18T11:31:29.000","2015-04-19T11:31:29.000","IDLEWOOD","No Cause For Action","15-00304602","MD","CLOSED","2015-04-21T13:27:09.000","2015-04-21T13:26:00.000","21239",-76.589525,39.368739
"Dispatch Work Crew","2024  MCCULLOH ST","BALTIMORE","FORESTR2","Forestry Fallen Limb","2015-04-16T15:40:15.000","2015-04-17T15:40:15.000","DRUID HEIGHTS","Removed entire limb","15-00298871","MD","CLOSED","2015-04-20T15:15:54.000","2015-04-20T15:14:00.000","21217",-76.6354255,39.3083578
"Dispatch Work Crew","822 W 37TH ST","BALTIMORE","FORESTR2","Forestry Fallen Limb","2015-04-16T11:38:25.000","2015-04-17T11:38:25.000","HAMPDEN","Removed entire limb","15-00297493","MD","CLOSED","2015-04-21T13:26:14.000","2015-04-21T13:25:00.000","21211",-76.630191,39.3330709
"Dispatch Work Crew","2800  WESTFIELD AVE","BALTIMORE","FORESTR2","Forestry Fallen Limb","2015-04-15T21:06:52.000","2015-04-16T21:06:52.000","WESTFIELD","Removed entire limb","15-00296692","MD","CLOSED","2015-04-20T15:26:52.000","2015-04-20T15:25:00.000","21214",-76.5580389,39.362622
"Dispatch Work Crew","1149  MONROE CIR","BALTIMORE","FORESTR2","Forestry Fallen Limb","2015-04-15T18:20:58.000","2015-04-16T18:20:58.000","CURTIS BAY","No Cause For Action","15-00295988","MD","CLOSED","2015-04-20T15:27:49.000","2015-04-20T15:27:00.000","21225",-76.592309,39.230856
"Dispatch Work Crew","1 W BARNEY ST","BALTIMORE","FORESTR2","Forestry Fallen Limb","2015-04-15T14:17:30.000","2015-04-16T14:17:30.000","SBIC","Removed entire limb","15-00294624","MD","CLOSED","2015-04-15T14:18:31.000","2015-04-15T14:17:00.000","21230",-76.6140022,39.2692935
"Dispatch Work Crew","2810  HAMILTON AVE","BALTIMORE","FORESTR2","Forestry Fallen Limb","2015-04-15T10:19:51.000","2015-04-16T10:19:51.000","HARFORD-ECHODALE/PERRING PARKWAY","Removed entire limb","15-00293203","MD","CLOSED","2015-04-16T16:26:25.000","2015-04-16T16:26:00.000","21214",-76.563067,39.353983
"Dispatch Work Crew","2810  KILDAIRE DR","BALTIMORE","FORESTR2","Forestry Fallen Limb","2015-04-14T18:31:03.000","2015-04-15T18:31:03.000","NORTH HARFORD ROAD","Removed entire limb","15-00292078","MD","CLOSED","2015-04-16T16:25:46.000","2015-04-16T16:24:00.000","21234",-76.552794,39.366256
"Dispatch Work Crew","5822  GREENSPRING AVE","BALTIMORE","FORESTR2","Forestry Fallen Limb","2015-04-14T14:15:25.000","2015-04-15T14:15:25.000","MOUNT WASHINGTON","Removed entire limb","15-00290824","MD","CLOSED","2015-04-15T14:44:55.000","2015-04-15T14:44:00.000","21209",-76.672078,39.364097
"Dispatch Inspector","3708  TUDOR ARMS AVE","BALTIMORE","FORESTR2","Forestry Fallen Limb","2015-04-13T23:25:16.000","2015-04-14T23:25:16.000","WYMAN PARK","Duplicate request","15-00289484","MD","CLOSED","2015-04-14T16:20:26.000","2015-04-14T16:20:00.000","21211",-76.626029,39.333278
"Dispatch Work Crew","3724  TUDOR ARMS AVE","BALTIMORE","FORESTR2","Forestry Fallen Limb","2015-04-13T22:44:29.000","2015-04-14T22:44:29.000","WYMAN PARK","Removed entire limb","15-00289432","MD","CLOSED","2015-04-15T14:51:24.000","2015-04-15T14:50:00.000","21211",-76.626053,39.333619
"Dispatch Work Crew","1300  HOLBROOK ST","BALTIMORE","FORESTR2","Forestry Fallen Limb","2015-04-13T18:20:26.000","2015-04-14T18:20:26.000","OLIVER","Removed entire limb","15-00288286","MD","CLOSED","2015-04-15T14:49:50.000","2015-04-15T14:49:00.000","21202",-76.6029389,39.3050588
"Dispatch Inspector","2704  MANHATTAN AVE","BALTIMORE","FORESTR2","Forestry Fallen Limb","2015-04-12T15:44:02.000","2015-04-13T15:44:02.000","MOUNT WASHINGTON","No Cause For Action","15-00284944","MD","CLOSED","2015-04-14T14:31:58.000","2015-04-14T14:31:00.000","21215",-76.674393,39.358463
"Dispatch Work Crew","1 W BARNEY ST","BALTIMORE","FORESTR2","Forestry Fallen Limb","2015-04-11T13:51:12.000","2015-04-12T13:51:12.000","SBIC","Removed entire limb","15-00283807","MD","CLOSED","2015-04-15T14:19:25.000","2015-04-15T14:19:00.000","21230",-76.6140022,39.2692935
NA,"2523  HAMILTON AVE","BALTIMORE","FORESTR2","Forestry Fallen Limb","2015-04-07T18:59:32.000","2015-04-08T18:59:32.000","HARFORD-ECHODALE/PERRING PARKWAY",NA,"15-00271839","MD","NEW","2015-04-07T18:59:32.000",NA,"21214",-76.565293,39.355422
"Dispatch Work Crew","4418  NORFOLK AVE","BALTIMORE","FORESTR2","Forestry Fallen Limb","2015-04-09T16:38:19.000","2015-04-10T16:38:19.000","WEST FOREST PARK","Removed entire limb","15-00278225","MD","CLOSED","2015-04-09T16:39:33.000","2015-04-09T16:39:00.000","21216",-76.692535,39.322105
"Dispatch Work Crew","1401 S CHARLES ST","BALTIMORE","FORESTR2","Forestry Fallen Limb","2015-04-09T11:40:55.000","2015-04-10T11:40:55.000","SBIC","No Cause For Action","15-00276875","MD","CLOSED","2015-04-13T14:10:44.000","2015-04-13T14:10:00.000","21230",-76.613867,39.27358
