"lat","lon","address","description"
"39.2747317582","-76.6429615341","1800 WASHINGTON BLVD","Asslt-Sec Degree || 2Nd Degree Assault"
"39.2858056190","-76.6457694565","1800 LEMMON ST","Burglary-4Th Degree-Store || Burglary 4Th Degree"
"39.2979146951","-76.6360445407","1100 W LANVALE ST","Asslt-Sec Degree || Second Degree Assault"
"39.3692261274","-76.5678468817","2200 PENTLAND DR","Asslt-Sec Degree || 2Nd Deg Assault"
"39.2788601639","-76.5544758125","1300 S PONCA ST","Affray || Common Assault"
"39.2788601639","-76.5544758125","1300 S PONCA ST","Fail Obey Renble/Lawfl || Common Assault"
"39.3027435930","-76.6689822678","1300 N ROSEDALE ST","Poss Of Firearm/Ammo/Minor || Hgv"
"39.3536532325","-76.6988118684","6200 REISTERSTOWN RD","Trespass: Private Property || Assault 2Nd Degree"
"39.2809910439","-76.5547038524","4800 ODONNELL ST","Alc. Bev./Intox:Endanger || 2Nd Deg. Assault"
"39.3430656020","-76.6096332597","4500 YORK RD","Asslt-Sec Degree || Aggravated Assault"
"39.3282788223","-76.5622149963","4400 KAVON AVE","Asslt-Sec Degree || Common Assault"
"39.2369370862","-76.6091842410","3700 2ND ST","Asslt-Sec Degree || Burglary"
"39.2842368183","-76.6458696828","300 S ADDISON ST","Reg Firearm:Illegal Possession || Hgv"
"39.3125882391","-76.6544094758","2300 WINDSOR AVE","Asslt-Sec Degree || Common Assault"
"39.2827594844","-76.5727473694","800 S ELLWOOD AVE","Asslt-Sec Degree || Common Assault"
"39.2900996898","-76.6052435790","800 E BALTIMORE ST","Asslt-Sec Degree || Deadly Weapon"
"39.2888592404","-76.5438838223","400 DREW ST","Asslt-Sec Degree || Assault"
"39.3240161044","-76.5634338797","3300 SHANNON DR","Asslt-Sec Degree || Assault"
"39.3086295621","-76.6367262587","2100 DRUID HILL AVE","Con-Robbery || Robbery"
"39.3068065148","-76.6345603813","1900 DRUID HILL AVE","Asslt-Sec Degree || Common Assault 2Ed Degree"
"39.2699307101","-76.6159802613","1700 CLARKSON ST","Asslt-Sec Degree || Second Degree Assault"
"39.3057056852","-76.6496898496","1500 N PAYSON ST","Asslt-Sec Degree || Common Assault"
"39.3057056852","-76.6496898496","1500 N PAYSON ST","Asslt-Sec Degree || Common Assault"
"39.3157135204","-76.5981424534","1200 DARLEY AVE","Asslt-Sec Degree || Common Assault"
"39.2763729980","-76.6142946733","1100 S CHARLES ST","Fail Obey Renble/Lawfl || Assault On Police"
"39.2763729980","-76.6142946733","1100 S CHARLES ST","Alc. Bev./Intox:Endanger || Assault On Police"
"39.2884215519","-76.6423542278","UNIT N GILMOR ST","Cds-Poss Of Firearms || Hgv"
"39.3394279695","-76.5394363286","5700 PLAINFIELD AVE","Asslt-First Degree || Handgun Violation"
"39.3266898458","-76.5602338999","4400 CHALET CT","Asslt-Sec Degree || Common Assault"
"39.3400085656","-76.5473861633","4200 BERGER AVE","Asslt-Sec Degree || Aggravated Assault"
"39.3314186944","-76.6280567149","3600 KESWICK RD","Deadly Weapon-Int/Injure || 2Nd Degree Assault"
"39.3127791682","-76.6534859874","2200 WINDSOR AVE","Att-Burglary-Fourth Degree || Burglary"
"39.3100874521","-76.6742170256","2000 DENISON ST","Firearm Poss W/Fel Convict || Handgun Violation"
"39.3084564697","-76.6259989568","200 MCMECHEN ST","Reg Firearm:Illegal Possession || Handgun Violation"
"39.2318798158","-76.5924787617","1300 E PONTIAC AVE","Asslt-Sec Degree || 1St Deg Assault"
"39.3006410189","-76.6026876809","1100 WEBB CT","Asslt-Sec Degree || Assault"
"39.2867912208","-76.6337807682","1000 W LOMBARD ST","Asslt-First Degree || Armed Robbery"
"39.2535840506","-76.6258603988","2200 ROUND RD","Asslt-Sec Degree || Second Degree Assault"
"39.3052407621","-76.6466945148","1800 PRESSTMAN ST","Asslt-First Degree || First Degree Assault"
"39.3053601004","-76.6448064123","1700 PRESSTMAN ST","Asslt-Sec Degree || Assault"
"39.3121758778","-76.5931623281","1700 E NORTH AVE","Deadly Weapon-Int/Injure || Aggravated Assault"
"39.2854176133","-76.6742179933","UNIT BENKERT AVE","Handgun On Person || Hgv"
"39.2879032517","-76.5362743165","6500 EASTERN AVE","Burglary-Fourth Degree || Burglary"
"39.3243185672","-76.5407816791","5300 FRANKFORD AVE","Theft Less Than $100.00 || Theft"
"39.2866759619","-76.6084333121","500 E PRATT ST","Asslt-Sec Degree || Assault Second Degree"
"39.2870598889","-76.5564210496","4700 EASTERN AVE","Asslt-First Degree || Aggravated Assault"
"39.2917935909","-76.6814611187","400 NORMANDY AVE","Asslt-Sec Degree || Att. 2Nd Degree Assault"
"39.3167645314","-76.6153487707","2400 SAINT PAUL ST","Att 1St Deg. Murder || Agg Assault"
"39.2986196283","-76.6171261574","800 CATHEDRAL ST","Deadly Weapon-Conceal || Concealed Deadly Weapon"
"39.3622154304","-76.5529438422","6600 HARFORD RD","Asslt-Sec Degree || First Degree Assault"
"39.3459287220","-76.6096285497","4600 YORK RD","Fail Obey Renble/Lawfl || Assault On Police"
"39.3438044656","-76.6019025811","4400 CRADDOCK AVE","Asslt-Sec Degree || Domestic Common Assault"
"39.2341255148","-76.5968208111","3600 SAINT VICTOR ST","Reg Firearm:Illegal Possession || Handgun Violation"
"39.2861852105","-76.5976272324","300 S SPRING ST","Alc. Bev./Intox:Endanger || Assault"
"39.2873243976","-76.5965434179","300 S DALLAS CT","Asslt-Sec Degree || Assault 2Nd Degree"
"39.3450431141","-76.6624216538","2800 VIRGINIA AVE","Asslt-Sec Degree || Assault"
"39.2932852861","-76.6567933930","2500 W FRANKLIN ST","Reg Firearm:Illegal Possession || Handgun Violation"
"39.3094816765","-76.6418477292","2400 PENNSYLVANIA AVE","Deadly Weapon-Conceal || Deadly Weapon"
"39.2914103144","-76.6103215148","200 HOLLIDAY ST","Asslt-First Degree || Aggravated Assault"
"39.3096313574","-76.6640809644","1900 N DUKELAND ST","Handgun On Person || Hgv"
"39.2740805921","-76.6276929303","1500 RUSSELL ST","Asslt-Sec Degree || Common Assault"
"39.3054755122","-76.5756774896","1200 N POTOMAC ST","Asslt-Sec Degree || Common Assault"
"39.2979988686","-76.6278482100","1000 PENNSYLVANIA AVE","Asslt-Sec Degree || Common Assault"
"39.2879978930","-76.6136853027","UNIT LIGHT ST","Fail Obey Renble/Lawfl || Assault On Police"
"39.2830139072","-76.6247480385","600 S PACA ST","Asslt-Sec Degree || Agg Assault"
"39.2909837030","-76.6051641980","800 E FAYETTE ST","Asslt-Sec Degree || Second Degree Assault"
"39.3282863922","-76.6081300241","600 E 33RD ST","Theft: Less $1,000 Value || Theft"
"39.3319293580","-76.5426165625","5400 CEDELLA AVE","Asslt-Sec Degree || Assault"
"39.3492662034","-76.5640725586","5200 HARFORD RD","Asslt-Sec Degree || Assault"
"39.2947483707","-76.6370263338","500 N CARROLLTON AVE","Burglary-4Th Degree-Store || Burglary"
"39.2776109884","-76.6693858680","3100 STRICKLAND ST","Asslt-Sec Degree || 2Nd Degree Assault"
"39.3149105454","-76.6618473580","2700 GWYNNS FALLS PKWY","Handgun In Vehicle || Hgv"
"39.2947246058","-76.6571483974","2500 EDMONDSON AVE","Asslt-Sec Degree || Common Assault"
"39.3095109207","-76.5851237279","1600 N BRADFORD ST","Burglary-4Th Degree-Store || 4Th Degree Burglary"
"39.3095109207","-76.5851237279","1600 N BRADFORD ST","Burglary-4Th Degree-Store || 4Th Degree Burglary"
"39.2876002350","-76.6121760162","100 S CALVERT ST","Asslt-Sec Degree || Assault On Police"
"39.3390184612","-76.6059613864","700 CATOR AVE","Cds:Possess-Not Marihuana || Handgun Violation"
"39.3390184612","-76.6059613864","700 CATOR AVE","Cds-Poss Of Firearms || Handgun Violation"
"39.3390184612","-76.6059613864","700 CATOR AVE","Poss Of Firearm/Ammo/Minor || Hgv"
"39.3570026930","-76.6005318522","5500 MIDWOOD AVE","Asslt-First Degree || Domestic Assault"
"39.2817558324","-76.6835063277","4100 FREDERICK AVE","Cds-Poss Of Firearms || Handgun Violation"
"39.3633353656","-76.7046922078","3700 FALLSTAFF RD","Trespass-Posted Property || 4Th Degree Burglary"
"39.3633353656","-76.7046922078","3700 FALLSTAFF RD","Trespass-Posted Property || 4Th Degree Burglary"
"39.3633353656","-76.7046922078","3700 FALLSTAFF RD","Burglary-Fourth Degree || 4Th Degree Burglary"
"39.2914133357","-76.5662590340","3700 E LOMBARD ST","Asslt-Sec Degree || Aggravated Assault"
"39.2881841372","-76.5663982605","3700 CHESTLE PL","Asslt-Sec Degree || Assault"
"39.2829779720","-76.5696625534","3300 CLYDE ST","Asslt-Sec Degree || 2Nd Degree Assault"
"39.2945089086","-76.6630213076","2800 EDMONDSON AVE","Handgun On Person || Handgun Violation"
"39.2839177011","-76.6561383845","2500 MCHENRY ST","Asslt-First Degree || Aggravated Assault"
"39.2530640987","-76.6470716774","2500 MARBOURNE AVE","Asslt-Sec Degree || 2Nd Degree Assault"
"39.2832654812","-76.6847420691","200 S AUGUSTA AVE","Asslt-Sec Degree || Common Assault"
"39.3588204249","-76.5853601387","1600 E BELVEDERE AVE","Asslt-Sec Degree || Aggravated Assault"
"39.3161754524","-76.5938416776","1600 E 25TH ST","Asslt-First Degree || Aggravated Assault By Pointing"
"39.3059403344","-76.6419718269","1500 N STRICKER ST","Mal Dest Prop/Valu - $500 || Theft"
"39.2958673440","-76.5735488230","300 N ELLWOOD AVE","Asslt-Sec Degree || Common Assault"
"39.2962935329","-76.5799734253","400 N GLOVER ST","Asslt-Sec Degree || Common Assault"
"39.3186814001","-76.6539908435","2400 LIBERTY HEIGHTS AVE","Robbery || Att Commercial Robbery"
"39.2985966696","-76.5894492597","2000 E MONUMENT ST","Asslt-Sec Degree || 2Nd Degree Assault"
"39.2929509217","-76.6474586202","1900 W MULBERRY ST","Asslt-Sec Degree || Common Assault"
"39.2902907280","-76.5635484535","200 GRUNDY ST","Deadly Weapon-Int/Injure || Second Degree Assault"
"39.2902907280","-76.5635484535","200 GRUNDY ST","Asslt-Sec Degree || 2Nd Degree Assault"
"39.3102772943","-76.5829254748","1600 N MILTON AVE","Asslt-Sec Degree || Theft"
"39.2905892867","-76.6180075429","100 PARK AVE","Deadly Weapon-Conceal || Deadly Weapon"
"39.2933090030","-76.5819888525","100 N MILTON AVE","Asslt-Sec Degree || Common Assault"
"39.2933090030","-76.5819888525","100 N MILTON AVE","Asslt-Sec Degree || Common Assault"
"39.3038534039","-76.5409467093","6400 PULASKI HWY","Asslt-Sec Degree || 2Nd Degree Assault"
"39.3089630544","-76.6421751354","600 CUMBERLAND ST","Asslt-Sec Degree || Aggrivated Assault"
"39.2911845950","-76.6892771212","400 N ATHOL AVE","Asslt-Sec Degree || Assault"
"39.3114255931","-76.6108338488","400 E NORTH AVE","Cds: Distr Etc. W/Firearm || Hgv"
"39.3043647010","-76.6711284571","3200 PRESSTMAN ST","Asslt-Sec Degree || Assault"
"39.2971569582","-76.6170367923","600 CATHEDRAL ST","Asslt-Sec Degree || Assault"
"39.3518040714","-76.6834042357","5500 PARK HEIGHTS AVE","Theft: Less $1,000 Value || Theft"
"39.2972062754","-76.5800979374","500 N GLOVER ST","Armed Robbery || Armed Robbery"
"39.3200368173","-76.5517281581","4800 SINCLAIR LN","Asslt-Sec Degree || Domestic Assault"
"39.3478923475","-76.6863297116","4000 LEWISTON AVE","Deadly Weapon-Conceal || Conceal Deadly Weapon"
"39.3316690080","-76.6956264919","3600 GWYNN OAK AVE","Asslt-Sec Degree || Common Assault"
"39.2925225518","-76.5691322119","3400 E BALTIMORE ST","Asslt-Sec Degree || 2Nd Degree Assault"
"39.3176619478","-76.5781853806","2400 BELAIR RD","Theft Less Than $100.00 || Theft"
"39.3018033208","-76.6526848627","2200 WINCHESTER ST","Handgun In Vehicle || Handgun Violation"
"39.2915696972","-76.6210983902","200 N EUTAW ST","Cds:P W/I Dist:Narc || Handgun Violation"
"39.2915696972","-76.6210983902","200 N EUTAW ST","Cds:P W/I Dist:Narc || Handgun Violation"
"39.2703118052","-76.6514017530","1700 MONTEREY ST","Asslt-Sec Degree || 2Nd Degree Assault"
"39.3555726278","-76.7015678041","6400 REISTERSTOWN RD","Reg Firearm:Illegal Possession || Hgv"
"39.2289644787","-76.5975527331","4100 HYDEN CT","Asslt-Sec Degree || Common Assault"
"39.3121782718","-76.6713939909","3200 WINDSOR AVE","Asslt-Sec Degree || Comman Assault"
"39.3155415923","-76.5903879042","2700 SAINT LO DR","Poss Of Firearm/Ammo/Minor || Handgun Violation"
"39.3155415923","-76.5903879042","2700 SAINT LO DR","Poss Of Firearm/Ammo/Minor || Handgun Violation"
"39.3155415923","-76.5903879042","2700 SAINT LO DR","Poss Of Firearm/Ammo/Minor || Hgv"
"39.3145070479","-76.6449545781","2300 N FULTON AVE","Handgun In Vehicle || Handgun Violation"
"39.3145070479","-76.6449545781","2300 N FULTON AVE","Reg Firearm:Illegal Possession || Handgun Violation"
"39.3145070479","-76.6449545781","2300 N FULTON AVE","Handgun In Vehicle || Hgv"
"39.3601449173","-76.5967582547","1100 E BELVEDERE AVE","Asslt-Sec Degree || Aggravated Assault"
"39.2887148226","-76.6381935446","UNIT N CAREY ST","Cds:Possess-Not Marihuana || Hgv"
"39.2887148226","-76.6381935446","UNIT N CAREY ST","Firearm Poss W/Fel Convict || Hgv"
"39.2985367685","-76.5944487264","700 N BROADWAY","Firearm Poss W/Fel Convict || Handgun Violation"
"39.3166579950","-76.6305820668","700 DRUID PARK LAKE DR","Burglary-4Th Degree-Store || Burglary Fourth Degree"
"39.2944170607","-76.6798499926","600 MOUNT HOLLY ST","Firearm Poss W/Fel Convict || Hgv"
"39.2861248845","-76.5690181550","500 S HIGHLAND AVE","Burglary-Fourth Degree || Burglary"
"39.2861248845","-76.5690181550","500 S HIGHLAND AVE","Theft: $1,000 To Under $10,000 || Burglary"
"39.2777574651","-76.6914709143","4500 PARKTON ST","Firearm/Drug Traf Crime || Hgv"
"39.3461805473","-76.6805089235","3700 W BELVEDERE AVE","Poss Of Firearm/Ammo/Minor || Handgun Violation"
"39.3133800535","-76.6696117295","2300 N ROSEDALE ST","Handgun On Person || Hgv"
"39.3143914699","-76.6167932242","2200 N CHARLES ST","Asslt-First Degree || Agg. Assault"
"39.2943050725","-76.5892853460","200 N WASHINGTON ST","Asslt-Sec Degree || 2Nd Degree Assault"
"39.2943050725","-76.5892853460","200 N WASHINGTON ST","Asslt-Sec Degree || Assault"
"39.3170848681","-76.6498487529","1700 GWYNNS FALLS PKWY","Asslt-Sec Degree || Common Assault"
"39.2910413948","-76.6209864626","100 N EUTAW ST","Asslt-Sec Degree || Att Robbery"
"39.2996546339","-76.6163725280","UNIT W READ ST","Theft: Less $1,000 Value || B&E"
"39.2875959561","-76.5945707032","1600 GOUGH ST","Asslt-First Degree || Robbery Unarmed"
"39.3522603884","-76.5615559278","5500 HARFORD RD","Asslt-Sec Degree || Dom Assault"
"39.3511863406","-76.7089872989","4600 PATTERSON AVE","Asslt-Sec Degree || Common Assault"
"39.3649028386","-76.7109650426","3900 SEVEN MILE LN","Mal Destr Prop Value + $500 || Aggravated Assault"
"39.3475395218","-76.5473892482","3800 WHITE AVE","Asslt-Sec Degree || Agg Assault"
"39.3207605205","-76.6228419114","2800 HUNTINGDON AVE","Cds:Possess-Not Marihuana || Theft"
"39.2857910490","-76.6563774131","2500 W LOMBARD ST","Handgun In Vehicle || Handgun Violation"
"39.3080911910","-76.6692131606","1800 N ROSEDALE ST","Poss Of Firearm/Ammo/Minor || Hgv"
"39.3105792309","-76.6094725605","1800 GREENMOUNT AVE","Asslt-Sec Degree || Assault"
"39.2875959561","-76.5945707032","1600 GOUGH ST","Robbery || Robbery Unarmed"
"39.2822080701","-76.6426655709","1600 COLE ST","Asslt-Sec Degree || 2Nd Degree Assault"
"39.3622727693","-76.5961765863","1100 RAMBLEWOOD RD","Asslt-Sec Degree || Assault"
"39.2862951090","-76.6783762709","UNIT S MONASTERY AVE","Burglary-4Th Degree-Store || Burglary"
"39.2862951090","-76.6783762709","UNIT S MONASTERY AVE","Burglary-4Th Degree-Store || Burglary"
"39.3313373102","-76.6415336137","3600 CLIPPER MILL RD","Armed Robbery || Armed Robbery"
"39.3014005499","-76.6645455093","2800 WINCHESTER ST","Asslt-First Degree || Aggravated Assault"
"39.2932626430","-76.6635288730","2800 W FRANKLIN ST","Know Alter Firearm Id Number || Hgv"
"39.2932626430","-76.6635288730","2800 W FRANKLIN ST","Handgun In Vehicle || Hgv"
"39.2683875378","-76.6505784007","2400 WASHINGTON BLVD","Asslt-Sec Degree || Assault 1St Degree"
"39.3166584878","-76.5953503430","1600 E 25TH ST","Handgun On Person || Hgv"
"39.3073628701","-76.6031178250","1500 HOLBROOK ST","Handgun On Person || Hgv"
"39.3064499206","-76.5785671302","1300 N KENWOOD AVE","Asslt-Sec Degree || Assault/Domestic"
"39.2735450721","-76.6713695091","900 S CATON AVE","Asslt-Sec Degree || Assault 2Nd Degree"
"39.2994048320","-76.5794649277","700 N LAKEWOOD AVE","Armed Robbery || Armed Robbery"
"39.2607211435","-76.5319379516","6500 COLGATE AVE","Asslt-Sec Degree || Assault"
"39.2874536001","-76.5475650732","5700 EASTERN AVE","Robbery || Unarmed Assault And Robbery"
"39.3484279445","-76.6749069021","5100 PARK HEIGHTS AVE","Asslt-Sec Degree || Common Assault"
"39.2829714006","-76.6466038531","400 S MONROE ST","Asslt-Sec Degree || 2Nd Degree Assault"
"39.3313373102","-76.6415336137","3600 CLIPPER MILL RD","Robbery || Armed Robbery"
"39.2807194060","-76.6131231329","700 LIGHT ST","Asslt-First Degree || Agg. Assault"
"39.3656320510","-76.5580984550","6700 OLD HARFORD RD","Deadly Weapon-Int/Injure || 1St Degree Assault"
"39.3042766852","-76.6356789283","600 LAURENS ST","Armed Robbery || Armed Robbery"
"39.2874536001","-76.5475650732","5700 EASTERN AVE","Robbery || Unarmed Assault And Robbery"
"39.3303211843","-76.7019710575","5100 GWYNN OAK AVE","Asslt-Sec Degree || Common Assault"
"39.3424177161","-76.6818820713","4000 W GARRISON AVE","Firearm/Drug Traf Crime || Hgv"
"39.2958553916","-76.5876994940","400 N CHESTER ST","Asslt-Sec Degree || Aggravated Assault"
"39.3466108828","-76.5657761412","3000 AILSA AVE","Att-Armed Robbery || Attempted Armed Robbery"
"39.3039958870","-76.6352698056","1700 PENNSYLVANIA AVE","Handgun On Person || Handgun Violation"
"39.2819849669","-76.6342738377","1300 W OSTEND ST","Asslt-Sec Degree || 1St Degree Assault"
"39.3121804169","-76.6170278960","UNIT W 20TH ST","Asslt-Sec Degree || Domestic Assault"
"39.2754691738","-76.5428637583","6100 BESSEMER AVE","Asslt-Sec Degree || Common Assault"
"39.2914625805","-76.6225315133","500 W LEXINGTON ST","Deadly Weapon-Conceal || Deadly Weapon/Switchblade"
"39.3574769368","-76.6077860527","500 HARWOOD AVE","Burglary-4Th Degree-Store || Burglary"
"39.3574769368","-76.6077860527","500 HARWOOD AVE","Burglary-4Th Degree-Store || Burglary"
"39.3112070220","-76.6123230403","300 E NORTH AVE","Armed Robbery || Armed Robbery"
"39.3112070220","-76.6123230403","300 E NORTH AVE","Armed Robbery || Armed Robbery"
"39.2897329063","-76.6108781955","300 E BALTIMORE ST","Poss Of Firearm/Ammo/Minor || Handgun Violation"
"39.2878119010","-76.6600757998","2700 KINSEY AVE","Asslt-Sec Degree || Common Assault"
"39.3216682855","-76.6204364936","200 W 28TH ST","Mal Dest Prop/Valu - $500 || Deadly Weapon; Destructio"
"39.3101171272","-76.6801433497","1900 CHELSEA RD","Asslt-Sec Degree || Domestic Common Assault"
"39.2844318153","-76.6422547275","1600 MCHENRY ST","Deadly Weapon-Int/Injure || Agg. Assault"
"39.3152517227","-76.5952125877","1600 CLIFTVIEW AVE","Asslt-Sec Degree || Common Assault"
"39.2740805921","-76.6276929303","1500 RUSSELL ST","Robbery || Unarmed Robbery"
"39.3064797479","-76.5996885567","1400 N EDEN ST","Asslt-Sec Degree || Common Assault"
"39.3712380737","-76.5670303671","7000 MCCLEAN BLVD","Asslt-Sec Degree || Agg Assault"
"39.2927067752","-76.6285765738","700 W SARATOGA ST","Asslt-First Degree || Aggravated Assault"
"39.3484279445","-76.6749069021","5100 PARK HEIGHTS AVE","Asslt-Sec Degree || Common Assault"
"39.3501957819","-76.6067407360","5100 CRAIG AVE","Deadly Weapon-Int/Injure || First Degree Assault"
"39.2913796993","-76.6232855318","500 W LEXINGTON ST","Armed Robbery || Assault"
"39.2913796993","-76.6232855318","500 W LEXINGTON ST","Armed Robbery || Assault"
"39.3434129129","-76.5343653117","4700 GLENARM AVE","Asslt-Sec Degree || Assault 2"
"39.2787097144","-76.6634881415","400 FONTHILL AVE","Firearm Poss W/Fel Convict || Handgun Violation"
"39.2914562031","-76.5665919080","3700 E LOMBARD ST","Handgun On Person || Hgv"
"39.3623662151","-76.5495212833","3000 E NORTHERN PKWY","Asslt-Sec Degree || Aggrevated Assault"
"39.3451739521","-76.5728207744","2700 E COLD SPRING LN","Asslt-Sec Degree || Common Assault"
"39.3460293591","-76.5882266830","1600 E COLD SPRING LN","Asslt-Sec Degree || Assault Sec. Degree"
"39.3053019346","-76.6470968461","1500 MCKEAN AVE","Cds:Possess-Not Marihuana || Hgv"
"39.3053019346","-76.6470968461","1500 MCKEAN AVE","Handgun On Person || Hgv"
"39.3053019346","-76.6470968461","1500 MCKEAN AVE","Handgun In Vehicle || Hgv"
"39.3033818674","-76.6390622259","1300 LAURENS ST","Cds-Poss Of Firearms || Hgv"
"39.3039042988","-76.6263594659","1300 EUTAW PL","Asslt-Sec Degree || Aggravated Assault"
"39.2894330613","-76.6194086962","UNIT N HOWARD ST","Asslt-Sec Degree || Assault"
"39.3678673139","-76.5692919373","6600 AQUARIUS CT","Burglary-Fourth Degree || Burglary"
"39.2972045838","-76.5725502456","500 LONEYS LN","Asslt-Sec Degree || 2Nd Degree Assault"
"39.3309491225","-76.5602787833","4600 ASBURY AVE","Asslt-Sec Degree || Agg Assault"
